Vul	Du grübelst, ob du deine letzte Klausur bestanden hast und dein Studium in Regelstudienzeit beenden kannst. Du bist zum Zerreißen gespannt und nervös.	{'neg': 0.148, 'neu': 0.852, 'pos': 0.0, 'compound': -0.5423}	emotional
Neif	Du entwickelst mit Begeisterung eine App für ein Kinderkrankenhaus. Es ist dir sehr wichtig, da du den Wert von Freundschaft und Trost in schweren Zeiten kennst. Du arbeitest jeden Tag eifrig daran.	{'neg': 0.087, 'neu': 0.622, 'pos': 0.291, 'compound': 0.8479}	emotional
Zimerhubst	Du hast die letzte Nacht schlecht geschlafen, weil du besorgt warst, auf der Arbeit heute zu versagen. Jetzt fühlst du dich kraftlos und es scheint völlig aussichtslos, die Deadline einhalten zu können.	{'neg': 0.316, 'neu': 0.684, 'pos': 0.0, 'compound': -0.8999}	emotional
Zwelde	Du wachst als Kind zufrieden aus einem wunderschönen Traum auf. Es ist kurz vor Weihnachten und du hast von tollen Geschenken geträumt.	{'neg': 0.0, 'neu': 0.54, 'pos': 0.46, 'compound': 0.9153}	emotional
Herklögen	Du triffst dich mit deinem*r besten Freund*in. Seine*ihre bloße Anwesenheit beruhigt dich und du fühlst, wie der Alltagsstress von dir abfällt und du dich entspannst.	{'neg': 0.084, 'neu': 0.539, 'pos': 0.377, 'compound': 0.8689}	emotional
Preier	Du wurdest nachträglich als letzte Person deines Freundeskreises zu einer Party eingeladen. Du fühlst dich abgewertet und beleidigt. Du wirst trotzig und lügst, dass du schon verarbredet bist.	{'neg': 0.141, 'neu': 0.703, 'pos': 0.157, 'compound': 0.1531}	neutral
Muschürdur	Du empfindest beim Aufwachen eine tiefe Traurigkeit in dir, ohne einen bestimmten Grund. Sie belastet dich den ganzen Tag und du fühlst dich wie erschlagen.	{'neg': 0.198, 'neu': 0.698, 'pos': 0.105, 'compound': -0.5267}	emotional
Ismiprämpf	Du holst deine geliebte Schwester am Flughafen ab. Du hoffst bei allen Mitreisenden, die durch die Tür treten, dass sie es endlich ist. Du hast sie sehr vermisst und freust dich auf das Wiedersehen.	{'neg': 0.053, 'neu': 0.797, 'pos': 0.15, 'compound': 0.6124}	emotional
Glühm	Es klingelt und du schaust durch den Türspion. Es ist deine unangenehme Nachbarin. Du bist ganz leise und hoffst besorgt, dass sie dich nicht gehört hat. 	{'neg': 0.169, 'neu': 0.831, 'pos': 0.0, 'compound': -0.4728}	emotional
Rugliebast	Du bist furchtbar aufgeregt vor einem Vorstellungsgespräch. Du läufst nervös durch die Wohnung und gehst die Antworten auf mögliche gemeine Fragen immer wieder in deinem Kopf durch.	{'neg': 0.273, 'neu': 0.652, 'pos': 0.075, 'compound': -0.7506}	emotional
Wumeizauch	Du erzählst einem*r Freund*in am Telefon, dass du dich einsam fühlst. Sein*ihr*e Partner*in mischt sich dreist ein und sagt, dass du deine Ansprüche senken sollst, um einen Partner zu finden. Du fühlst dich angegriffen.	{'neg': 0.209, 'neu': 0.705, 'pos': 0.087, 'compound': -0.5423}	emotional
Häugnung	Du erlebst einen Heiratsantrag am Nebentisch im Restaurant beim Abendessen mit. Das verliebte Paar wirkt sehr glücklich. Du bist ergriffen und dir wird warm ums Herz. 	{'neg': 0.0, 'neu': 0.712, 'pos': 0.288, 'compound': 0.8777}	emotional
Wupforau	Du sitzt im Zug einer Person gegenüber, die dir die Sprache verschlägt. Er*sie ist umwerfend. Du hast das sichere Gefühl, dass das dein*e Seelenverwandte*r sein könnte. 	{'neg': 0.0, 'neu': 0.849, 'pos': 0.151, 'compound': 0.4767}	neutral
Bismirbiel	Dein*e Partner*in hat eine Folge eurer gemeinsamen Serie ohne dich geschaut. Dir ist fast nach heulen zumute, so sehr fühlst du dich verraten. Du bist sauer und machst ihm*ihr Vorwürfe.	{'neg': 0.341, 'neu': 0.599, 'pos': 0.06, 'compound': -0.8838}	emotional
Enkmitas	In einer Diskussion fällt dir das passende Wort nicht schnell genug ein. Du ärgerst dich, denn es lässt dich dümmlich wirken und schwächt dein Argument.	{'neg': 0.365, 'neu': 0.635, 'pos': 0.0, 'compound': -0.8885}	emotional
Mege	Du wirst auf der Arbeit von einem*r Techniker*in unterstützt, der dir bei IT-Problemen zur Seite steht. Du bist dankbar, dass er*sie immer zuverlässig und hilfsbereit ist.	{'neg': 0.081, 'neu': 0.597, 'pos': 0.322, 'compound': 0.7964}	emotional
Weforshank	Du betrachtest dein Kind und dir ist klar, dass du keinen anderen Menschen je so lieben wirst wie dieses kleine Wunder. Du fühlst dich deinem Kind auf ewig verbunden.	{'neg': 0.107, 'neu': 0.701, 'pos': 0.191, 'compound': 0.3897}	neutral
Plüpp	Du hältst einen Vortrag auf Englisch. Du fühlst dich unwohl und bist angespannt. Du befürchtest, dumm und inkompetent zu wirken.	{'neg': 0.523, 'neu': 0.391, 'pos': 0.085, 'compound': -0.9062}	emotional
Skibt	Du bist auf einer wunderschönen Hochzeit. Du siehst das verliebte Ehepaar gemeinsam lachen. Du fühlst dich vergnügt und froh bei diesem Anblick.	{'neg': 0.0, 'neu': 0.467, 'pos': 0.533, 'compound': 0.9524}	emotional
Namistell	Du findest beim Frühjahrsputz deine alte Uhr unter einem Schrank. Du bist begeistert, sie so unverhofft wiederzuhaben.	{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.4404}	neutral
Struk	Du steigst in den Mietwagen, um deinen lang geplanten Roadtrip anzutreten. Du freust dich auf die wundervollen Erfahrungen. Dein Herz klopft wie wild.	{'neg': 0.105, 'neu': 0.767, 'pos': 0.129, 'compound': 0.1779}	neutral
Mölauzegt	Dein*e Vorgesetzte*r macht dich auf einen unnötigen Rechenfehler aufmerksam. Du hättest es besser wissen müssen und schämst dich. Du bist wütend auf dich selbst.	{'neg': 0.294, 'neu': 0.613, 'pos': 0.094, 'compound': -0.7351}	emotional
Bingsemöl	Du übst seit Stunden ein Stück am Klavier und es klappt einfach nicht. Du bist unzufrieden und völlig aufgelöst. Du übst frustriert weiter.	{'neg': 0.217, 'neu': 0.783, 'pos': 0.0, 'compound': -0.7269}	emotional
Iberletsch	Du sitzt deinem*r Partner*in bei einem Date in einem Restaurant gegenüber. Seine*Ihre Lippen sehen so sinnlich aus, dass du sie anstarrst. Du sehnst dich danach, ihn*sie zu küssen.	{'neg': 0.0, 'neu': 0.899, 'pos': 0.101, 'compound': 0.4215}	neutral
Troff	Du hast Mut gefasst und deinen alten Job gekündigt, was dich sehr glücklich macht. Du fühlst dich selbstbestimmt und zuversichtlich.	{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.8858}	emotional
