neu	Informationen suchen+Entscheidung +schlau+Frustration+abwarten,	seek information + decision + smart + frustration + wait,	{'neg': 0.316, 'neu': 0.408, 'pos': 0.276, 'compound': -0.1027}	neutral
emo	Mühe+Freude+Befriedigung +Sinn,	effort + joy + satisfaction + sense,	{'neg': 0.0, 'neu': 0.23, 'pos': 0.77, 'compound': 0.7717}	emotional
emo	dreist+Wut+Unsicherheit +Einmischen+aufdringlich	bold + anger + insecurity + meddling + pushy	{'neg': 0.705, 'neu': 0.082, 'pos': 0.213, 'compound': -0.7184}	emotional
emo	Mitgefühl+Inspiration+sozial+Gesellschaft,	compassion + inspiration + social + society,	{'neg': 0.0, 'neu': 0.238, 'pos': 0.762, 'compound': 0.7506}	emotional
emo	Nervosität+Tagtraum+Hoffnung +Inspiration+wärme+Freude+verwirrtchdenklich,	nervousness + daydream + hope + inspiration + warmth + joy + confused thoughtful,	{'neg': 0.212, 'neu': 0.047, 'pos': 0.741, 'compound': 0.9042}	emotional
emo	weinen+Wut+ Freude+überreagieren+Laune ,	cry + anger + joy + overreact + mood ,	{'neg': 0.647, 'neu': 0.074, 'pos': 0.279, 'compound': -0.6124}	emotional
neu	ungeduldig+frustriert ch Worten ringen ,	impatient + frustrated wrestling with words ,	{'neg': 0.651, 'neu': 0.349, 'pos': 0.0, 'compound': -0.6808}	emotional
emo	Zuverlässigkeit+Sicherheit+Professionell+Aufgaben aufteilen+Erleichterung +Entspannung	Reliability + Security + Professional + Split Tasks + Relief  + Relaxation	{'neg': 0.0, 'neu': 0.31, 'pos': 0.69, 'compound': 0.836}	emotional
neu	Nähe +Geborgenheit +Familie+Aufwachsen +Bindung +Verbindung+Kontakt,	Proximity  +  security  +  family  +  growing up  +  attachment  +  connection  +  contact,	{'neg': 0.0, 'neu': 0.442, 'pos': 0.558, 'compound': 0.6486}	emotional
emo	Üben+müde+Anstrengend +lernen+Austausch+Kontakt+neue Kultur+gestikulieren+verständigen+Übersetzen,	practice + tired + tiring + study + exchange + contact + new culture + gesture + understand + translate,	{'neg': 0.225, 'neu': 0.775, 'pos': 0.0, 'compound': -0.4404}	neutral
neu	Empathie+Sozialleben+Freunde,	empathy + social life + friends,	{'neg': 0.0, 'neu': 0.492, 'pos': 0.508, 'compound': 0.4767}	neutral
