neu	Informationen suchen+Entscheidung +schlau+Frustration+abwarten,	{'neg': 0.316, 'neu': 0.408, 'pos': 0.276, 'compound': -0.1027}	neutral
emo	Mühe+Freude+Befriedigung +Sinn,	{'neg': 0.0, 'neu': 0.23, 'pos': 0.77, 'compound': 0.7717}	emotional
emo	dreist+Wut+Unsicherheit +Einmischen+aufdringlich	{'neg': 0.705, 'neu': 0.082, 'pos': 0.213, 'compound': -0.7184}	emotional
emo	Mitgefühl+Inspiration+sozial+Gesellschaft,	{'neg': 0.0, 'neu': 0.238, 'pos': 0.762, 'compound': 0.7506}	emotional
emo	Nervosität+Tagtraum+Hoffnung +Inspiration+wärme+Freude+verwirrtchdenklich,	{'neg': 0.212, 'neu': 0.047, 'pos': 0.741, 'compound': 0.9042}	emotional
emo	weinen+Wut+ Freude+überreagieren+Laune ,	{'neg': 0.647, 'neu': 0.074, 'pos': 0.279, 'compound': -0.6124}	emotional
neu	ungeduldig+frustriert ch Worten ringen ,	{'neg': 0.651, 'neu': 0.349, 'pos': 0.0, 'compound': -0.6808}	emotional
emo	Zuverlässigkeit+Sicherheit+Professionell+Aufgaben aufteilen+Erleichterung +Entspannung	{'neg': 0.0, 'neu': 0.31, 'pos': 0.69, 'compound': 0.836}	emotional
neu	Nähe +Geborgenheit +Familie+Aufwachsen +Bindung +Verbindung+Kontakt,	{'neg': 0.0, 'neu': 0.442, 'pos': 0.558, 'compound': 0.6486}	emotional
emo	Üben+müde+Anstrengend +lernen+Austausch+Kontakt+neue Kultur+gestikulieren+verständigen+Übersetzen,	{'neg': 0.225, 'neu': 0.775, 'pos': 0.0, 'compound': -0.4404}	neutral
neu	Empathie+Sozialleben+Freunde,	{'neg': 0.0, 'neu': 0.492, 'pos': 0.508, 'compound': 0.4767}	neutral
neu	Überraschung +unverhofft+Freude,	{'neg': 0.0, 'neu': 0.145, 'pos': 0.855, 'compound': 0.7096}	emotional
neu	Angst+nervosität+Trauer+Einsamkeit+müde+Bett+liegencht+Stress,	{'neg': 0.91, 'neu': 0.09, 'pos': 0.0, 'compound': -0.9595}	emotional
neu	gespannt+aufgeregt+Zug+Packen+Vorfreude+warten+Urlaub+nervös+Stress,	{'neg': 0.325, 'neu': 0.265, 'pos': 0.411, 'compound': 0.0772}	neutral
neu	Bewertung+Selbstbild+Kritik+positiv+negativ+Harsch,	{'neg': 0.629, 'neu': 0.132, 'pos': 0.238, 'compound': -0.7096}	emotional
emo	Übung+Gedult+Lernen+Perfektionismus+Hobby+Fähigkeit,	{'neg': 0.0, 'neu': 0.685, 'pos': 0.315, 'compound': 0.3182}	neutral
emo	Nähe+Ungedult+Liebe+Beziehung +Intimität+Berührung	{'neg': 0.255, 'neu': 0.364, 'pos': 0.382, 'compound': 0.34}	neutral
emo	Verantwortung+Erwachsen+Wahl+Überlegen+vorausschauen+Konsequenzen,	{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.1779}	neutral
